92,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHTP,XANH LAM,21.01.06.G1.FA2,-,1Z344,,,-,-
93,-,0,HTH 355-5MS 0093/012,SINGLE CVC40+E20,DHTP,BEIGE SO 21.01.07.A1,21.01.18.B1.FA2,-,1Z445,,,-,-
94,-,0,HIT 040,DOUBLE CO50,DHTP,SAX SO 20.11.23.C1,20.11.23.C1.1,-,1Z603,,,-,-
95,-,0,HIT 040,DOUBLE CO50,DHTP,SAX SO 20.11.23.C1,20.11.23.C1.1,-,1Z604,,,-,-
96,-,0,HIT 040,DOUBLE CO50,DHTP,BLUE SO 20.11.28.A1,20.12.21.L1.1,-,1Z557,,,-,-
97,-,0,HIT 039,DOUBLE CO50 KẺ SỌC,DHTP,,,-,1Z554,,,-,-
98,-,0,HIT 039,DOUBLE CO50 KẺ SỌC,DHTP,,,-,1Z676,,,-,-
99,-,0,HIT 039,DOUBLE CO50 KẺ SỌC,DHTP,,,-,1Z602,,,-,-
100,-,0,HIT 039,DOUBLE CO50 KẺ SỌC,DHTP,,,-,1Z680,,,-,-
101,-,0,HIT 038,DOUBLE CO50 GREZYU,DHTP,,,-,1Z351,,,-,-
102,-,0,HIT 037,DOUBLE CO50 M/GREY+CO50 IVORY KẺ SỌC,DHTP,,,-,1Z435,,,-,-
103,-,0,HIT 037,DOUBLE CO50 M/GREY+CO50 IVORY KẺ SỌC,DHTP,,,-,1Z377,,,-,-
104,-,0,HIT 037,DOUBLE CO50 M/GREY+CO50 IVORY KẺ SỌC,DHTP,,,-,1Z436,,,-,-
105,-,0,HIT 037,DOUBLE CO50 M/GREY+CO50 IVORY KẺ SỌC,DHTP,,,-,1Z321,,,-,-
106,-,0,HIT 035,DOUBLE CO50 MOKA,DHTP,,,-,1Z511,,,-,-
107,-,0,HIT 034,DOUBLE CO50 BLACK+CO50 IVORY KẺ SỌC,DHTP,,,-,1Z326,,,-,-
108,-,0,HIT 034,DOUBLE CO50 BLACK+CO50 IVORY KẺ SỌC,DHTP,,,-,1Z437,,,-,-
109,-,0,HIT 029,DOUBLE CO50 GREEN+CO50 GREZYU KẺ SỌC,DHTP,,,-,1Z378,,,-,-
110,-,0,HDG 316-5MT 4796,SINGLE CO40ML-SA536+E22,DHSB,,,-,1Z360,,,-,-
111,-,0,HDG 316-5MT 4796,SINGLE CO40ML-SA536+E22,DHSB,,,-,1Z444,,,-,-
112,-,0,HDG 316-5MT 4796,SINGLE CO40ML-SA536+E22,DHTP,,,-,1Z444,,,-,-
113,-,0,HDG 316-5MT 4796,SINGLE CO40ML-SA536+E22,DHTP,,,-,1Z360,,,-,-
114,-,0,HDG 316-5MT 4796,SINGLE CO40ML-SA536+E22,DHSB,,,-,1Z443,,,-,-
115,-,0,HDG 316-5MT 4796,SINGLE CO40ML-SA536+E22,DHTP,,,-,1Z443,,,-,-
116,-,0,HAA 362-5MS 1171/029,SINGLE CO40ML BC03+E20,DHSB,XÁM NHẠT ML BC03 - MAA1,19.07.06.W2,-,1Z695,,,-,-
117,-,0,HAA 362-5MS 1171/029,SINGLE CO40ML BC03+E20,DHTP,XÁM NHẠT ML BC03 - MAA1,19.07.06.W2,-,1Z695,,,-,-
118,-,0,HAA 361-5MS 1171/043,SINGLE COP40+E20,DHSB,WHITE SW001 11-0601 TCX,20.10.04.W1,-,1Z663,,,-,-
119,-,0,HAA 361-5MS 1171/043,SINGLE COP40+E20,DHSB,BLACK 100% SK010 SO 20.10.21.D2,21.01.28.A1,-,1Z697,,,-,-
120,-,0,HAA 361-5MS 1171/043,SINGLE COP40+E20,DHSB,BLUE 060 SB060 19-4024 TCX,20.10.01.D1,-,1Z696,,,-,-
121,-,0,HAA 361-5MS 1171/043,SINGLE COP40+E20,DHTP,WHITE SW001 11-0601 TCX,20.10.04.W1,-,1Z663,,,-,-
122,-,0,HAA 361-5MS 1171/043,SINGLE COP40+E20,DHTP,BLACK 100% SK010 SO 20.10.21.D2,21.01.28.A1,-,1Z697,,,-,-
123,-,0,HAA 361-5MS 1171/043,SINGLE COP40+E20,DHTP,BLUE 060 SB060 19-4024 TCX,20.10.01.D1,-,1Z696,,,-,-
124,-,0,HAA 361-5MS 1171/043,SINGLE COP40+E20,DHSB,PINK 179 SO 20.10.04.Q1,21.01.27.E1.1,-,1Z665,,,-,-
125,-,0,HAA 361-5MS 1171/043,SINGLE COP40+E20,DHTP,PINK 179 SO 20.10.04.Q1,21.01.27.E1.1,-,1Z665,,,-,-
126,-,0,HAA 361-5MS 1171/028,SINGLE COP40+E20,DHSB,PINK 121-SM 121 SO 20.10.05.A2,21.01.27.F1.1,-,1Z606,,,-,-
127,-,0,HAA 361-5MS 1171/028,SINGLE COP40+E20,DHTP,PINK 121-SM 121 SO 20.10.05.A2,21.01.27.F1.1,-,1Z606,,,-,-
128,-,0,HAA 361-5MS 1171/028,SINGLE COP40+E20,DHSB,PINK 179 SO 20.10.04.Q1,21.01.27.E1.1,-,1Z664,,,-,-
129,-,0,HAA 361-5MS 1171/028,SINGLE COP40+E20,DHTP,PINK 179 SO 20.10.04.Q1,21.01.27.E1.1,-,1Z664,,,-,-
130,-,0,GVT 291-5MS 8868/027,SINGLE CVC40SLUB-40BS0NTX71CVC+E20,DHSB,TRẮNG SO 20.10.20.H1,21.01.18.F.FA1,-,1Z504,,,-,-
131,-,0,GVT 291-5MS 8868/027,SINGLE CVC40SLUB-40BS0NTX71CVC+E20,DHTP,TRẮNG SO 20.10.20.H1,21.01.18.F.FA1,-,1Z504,,,-,-
132,-,0,GVT 291-5MS 8868/027,SINGLE CVC40SLUB-40BS0NTX71CVC+E20,DHSB,TRẮNG SO 20.10.20.H1,21.01.18.F1.FA2,-,1Z480,,,-,-
133,-,0,GVT 291-5MS 8868/027,SINGLE CVC40SLUB-40BS0NTX71CVC+E20,DHTP,TRẮNG SO 20.10.20.H1,21.01.18.F1.FA2,-,1Z480,,,-,-
134,-,0,GVT 291-5MR 4744,RIB 1X1 CVC40SLUB-40BS0NTX71CVC+E20,DHSB,TRẮNG SO 20.10.20.H1,21.01.18.F1.FA2,-,1Z339,,,-,-
135,-,0,GVT 291-5MR 4744,RIB 1X1 CVC40SLUB-40BS0NTX71CVC+E20,DHTP,TRẮNG SO 20.10.20.H1,21.01.18.F1.FA2,-,1Z339,,,-,-
136,-,0,GVT 291-5MR 4744,RIB 1X1 CVC40SLUB-40BS0NTX71CVC+E20,DHSB,TRẮNG SO 20.10.20.H1,21.01.18.F.FA1,-,1Z340,,,-,-
137,-,0,GVT 291-5MR 4744,RIB 1X1 CVC40SLUB-40BS0NTX71CVC+E20,DHTP,TRẮNG SO 20.10.20.H1,21.01.18.F.FA1,-,1Z340,,,-,-
138,-,0,GVT 291-5MR 4744,RIB 1X1 CVC40SLUB-40BS0NTX71CVC+E20,DHSB,XANH TÍM SO 20.10.20.G1,21.01.16.A1.FA2,-,1Z338,,,-,-
139,-,0,GVT 291-5MR 4744,RIB 1X1 CVC40SLUB-40BS0NTX71CVC+E20,DHTP,XANH TÍM SO 20.10.20.G1,21.01.16.A1.FA2,-,1Z338,,,-,-
140,-,0,GVT 291-5MR 4744,RIB 1X1 CVC40SLUB-40BS0NTX71CVC+E20,DHSB,CAM ĐẤT SO 20.10.20.K1,21.01.21.T1.FA1,-,1Z336,,,-,-
141,-,0,GVT 291-5MR 4744,RIB 1X1 CVC40SLUB-40BS0NTX71CVC+E20,DHTP,CAM ĐẤT SO 20.10.20.K1,21.01.21.T1.FA1,-,1Z336,,,-,-
142,-,0,GVT 291-5MR 4744,RIB 1X1 CVC40SLUB-40BS0NTX71CVC+E20,DHSB,CAM ĐẤT SO 20.10.20.K1,21.01.21.T5.FA1,-,1Z337,,,-,-
143,-,0,GVT 291-5MR 4744,RIB 1X1 CVC40SLUB-40BS0NTX71CVC+E20,DHTP,CAM ĐẤT SO 20.10.20.K1,21.01.21.T5.FA1,-,1Z337,,,-,-
144,-,0,GVT 291-5MP 4743,SINGLE CVC40SLUB-40BS0NTX71CVC+E20,DHSB,XANH TÍM SO 20.10.20.G1,21.01.16.A1.FA2,-,1Z411,,,-,-
145,-,0,GVT 291-5MP 4743,SINGLE CVC40SLUB-40BS0NTX71CVC+E20,DHSB,CAM ĐẤT SO 20.10.20.K1,21.01.21.T1.FA1,-,1Z477,,,-,-
146,-,0,GVT 291-5MP 4743,SINGLE CVC40SLUB-40BS0NTX71CVC+E20,DHSB,CAM ĐẤT SO 20.10.20.K1,21.01.21.T5.FA1,-,1Z442,,,-,-
147,-,0,GVT 291-5MP 4743,SINGLE CVC40SLUB-40BS0NTX71CVC+E20,DHSB,TRẮNG SO 20.10.20.H1,21.01.18.F1.FA2,-,1Z479,,,-,-
148,-,0,GVT 291-5MP 4743,SINGLE CVC40SLUB-40BS0NTX71CVC+E20,DHTP,XANH TÍM SO 20.10.20.G1,21.01.16.A1.FA2,-,1Z411,,,-,-
149,-,0,GVT 291-5MP 4743,SINGLE CVC40SLUB-40BS0NTX71CVC+E20,DHTP,CAM ĐẤT SO 20.10.20.K1,21.01.21.T1.FA1,-,1Z477,,,-,-
150,-,0,GVT 291-5MP 4743,SINGLE CVC40SLUB-40BS0NTX71CVC+E20,DHTP,CAM ĐẤT SO 20.10.20.K1,21.01.21.T5.FA1,-,1Z442,,,-,-
151,-,0,GVT 291-5MP 4743,SINGLE CVC40SLUB-40BS0NTX71CVC+E20,DHTP,TRẮNG SO 20.10.20.H1,21.01.18.F1.FA2,-,1Z479,,,-,-
152,,1000,DHY 364-5MB 1104/038,BO CỔ CO20//3+E30,DHSB,,,-,1Y068,,,-,
153,,1000,DHY 364-5MB 1104/038,BO CỔ CO20//3+E30,DHTP,,,-,1Y068,,,-,
154,DINH HINH,0,DHY 356-5MR 0661/014,RIB 1X1 COP40+E70,DHTP,BRIGHT WHITE 11-0601 TCX,20.12.05.W2,-,1Z362,,,-,1Z811
155,-,0,DHY 356-5MR 0661/014,RIB 1X1 COP40+E70,DHTP,BRIGHT WHITE 11-0601 TCX,20.12.05.W2,-,1Z361,,,-,1Z688
156,-,0,DHY 356-5MI 0796/013,INTERLOCK COP40,SAY,BRIGHT WHITE 11-0601 TCX,20.12.05.W2,-,1Z688,,,-,1Z688
157,-,0,DHY 002-5MP 1005/002,PIQUE COMD40+E30,DHSB,BRIGHT WHITE 11-0601 TCX,20.12.23.W4,-,1Z356,,,-,-
